common_name,species
Bermuda Petrel,Pterodroma cahow
Black-capped Petrel,Pterodroma hasitata
Juan Fernandez Petrel,Pterodroma externa
Galapagos Petrel,Pterodroma phaeopygia
Hawaiian Petrel,Pterodroma sandwichensis
White-necked Petrel,Pterodroma cervicalis
Bonin Petrel,Pterodroma hypoleuca
Black-winged Petrel,Pterodroma nigripennis
Fea's Petrel,Pterodroma feae
Zino's Petrel,Pterodroma madeira
Cook's Petrel,Pterodroma cookii
Stejneger's Petrel,Pterodroma longirostris
Tahiti Petrel,Pseudobulweria rostrata
Bulwer's Petrel,Bulweria bulwerii
Jouanin's Petrel,Bulweria fallax
White-chinned Petrel,Procellaria aequinoctialis
Parkinson's Petrel,Procellaria parkinsoni
Streaked Shearwater,Calonectris leucomelas
Cory's Shearwater,Calonectris diomedea
Cape Verde Shearwater,Calonectris edwardsii
Wedge-tailed Shearwater,Ardenna pacifica
Buller's Shearwater,Ardenna bulleri
Short-tailed Shearwater,Ardenna tenuirostris
Sooty Shearwater,Ardenna grisea
Great Shearwater,Ardenna gravis
Pink-footed Shearwater,Ardenna creatopus
Flesh-footed Shearwater,Ardenna carneipes
Christmas Shearwater,Puffinus nativitatis
Galapagos Shearwater,Puffinus subalaris
Manx Shearwater,Puffinus puffinus
Townsend's Shearwater,Puffinus auricularis
Newell's Shearwater,Puffinus newelli
Bryan's Shearwater,Puffinus bryani
Black-vented Shearwater,Puffinus opisthomelas
Audubon's Shearwater,Puffinus lherminieri
Barolo Shearwater,Puffinus baroli
Maguari Stork,Ciconia maguari
Jabiru,Jabiru mycteria
Wood Stork,Mycteria americana
Lesser Frigatebird,Fregata ariel
Magnificent Frigatebird,Fregata magnificens
Great Frigatebird,Fregata minor
Masked Booby,Sula dactylatra
Nazca Booby,Sula granti
Blue-footed Booby,Sula nebouxii
Peruvian Booby,Sula variegata
Brown Booby,Sula leucogaster
Red-footed Booby,Sula sula
Northern Gannet,Morus bassanus
Anhinga,Anhinga anhinga
Brandt's Cormorant,Urile penicillatus
Red-faced Cormorant,Urile urile
Pelagic Cormorant,Urile pelagicus
Great Cormorant,Phalacrocorax carbo
Double-crested Cormorant,Nannopterum auritum
Neotropic Cormorant,Nannopterum brasilianum
American White Pelican,Pelecanus erythrorhynchos
Brown Pelican,Pelecanus occidentalis
Pinnated Bittern,Botaurus pinnatus
American Bittern,Botaurus lentiginosus
Yellow Bittern,Ixobrychus sinensis
Least Bittern,Ixobrychus exilis
Little Bittern,Ixobrychus minutus
Rufescent Tiger-Heron,Tigrisoma lineatum
Fasciated Tiger-Heron,Tigrisoma fasciatum
Bare-throated Tiger-Heron,Tigrisoma mexicanum
Great Blue Heron,Ardea herodias
Gray Heron,Ardea cinerea
Cocoi Heron,Ardea cocoi
Purple Heron,Ardea purpurea
Great Egret,Ardea alba
Intermediate Egret,Ardea intermedia
Whistling Heron,Syrigma sibilatrix
Chinese Egret,Egretta eulophotes
Little Egret,Egretta garzetta
Western Reef-Heron,Egretta gularis
Snowy Egret,Egretta thula
Little Blue Heron,Egretta caerulea
Tricolored Heron,Egretta tricolor
Reddish Egret,Egretta rufescens
Cattle Egret,Bubulcus ibis
Chinese Pond-Heron,Ardeola bacchus
Green Heron,Butorides virescens
Striated Heron,Butorides striata
Agami Heron,Agamia agami
Capped Heron,Pilherodius pileatus
Black-crowned Night-Heron,Nycticorax nycticorax
Yellow-crowned Night-Heron,Nyctanassa violacea
Boat-billed Heron,Cochlearius cochlearius
White Ibis,Eudocimus albus
Scarlet Ibis,Eudocimus ruber
Glossy Ibis,Plegadis falcinellus
White-faced Ibis,Plegadis chihi
Green Ibis,Mesembrinibis cayennensis
Buff-necked Ibis,Theristicus caudatus
Eurasian Spoonbill,Platalea leucorodia
Roseate Spoonbill,Platalea ajaja
California Condor,Gymnogyps californianus
King Vulture,Sarcoramphus papa
Black Vulture,Coragyps atratus
Turkey Vulture,Cathartes aura
Lesser Yellow-headed Vulture,Cathartes burrovianus
Osprey,Pandion haliaetus
Pearl Kite,Gampsonyx swainsonii
White-tailed Kite,Elanus leucurus
Hook-billed Kite,Chondrohierax uncinatus
Cuban Kite,Chondrohierax wilsonii
Gray-headed Kite,Leptodon cayanensis
Swallow-tailed Kite,Elanoides forficatus
Crested Eagle,Morphnus guianensis
Harpy Eagle,Harpia harpyja
Golden Eagle,Aquila chrysaetos
Black Hawk-Eagle,Spizaetus tyrannus
Black-and-white Hawk-Eagle,Spizaetus melanoleucus
Ornate Hawk-Eagle,Spizaetus ornatus
Double-toothed Kite,Harpagus bidentatus
Tiny Hawk,Microspizias superciliosus
Northern Harrier,Circus hudsonius
Long-winged Harrier,Circus buffoni
Western Marsh Harrier,Circus aeruginosus
Gray-bellied Hawk,Accipiter poliogaster
Chinese Sparrowhawk,Accipiter soloensis
Sharp-shinned Hawk,Accipiter striatus
Cooper's Hawk,Accipiter cooperii
Gundlach's Hawk,Accipiter gundlachi
Bicolored Hawk,Accipiter bicolor
Eurasian Goshawk,Accipiter gentilis
American Goshawk,Accipiter atricapillus
Black Kite,Milvus migrans
Bald Eagle,Haliaeetus leucocephalus
White-tailed Eagle,Haliaeetus albicilla
Steller's Sea-Eagle,Haliaeetus pelagicus
Mississippi Kite,Ictinia mississippiensis
Plumbeous Kite,Ictinia plumbea
Black-collared Hawk,Busarellus nigricollis
Crane Hawk,Geranospiza caerulescens
Snail Kite,Rostrhamus sociabilis
Slender-billed Kite,Helicolestes hamatus
Plumbeous Hawk,Cryptoleucopteryx plumbea
Common Black Hawk,Buteogallus anthracinus
Cuban Black Hawk,Buteogallus gundlachii
Savanna Hawk,Buteogallus meridionalis
Great Black Hawk,Buteogallus urubitinga
Solitary Eagle,Buteogallus solitarius
Barred Hawk,Morphnarchus princeps
Roadside Hawk,Rupornis magnirostris
Harris's Hawk,Parabuteo unicinctus
White-tailed Hawk,Geranoaetus albicaudatus
White Hawk,Pseudastur albicollis
Semiplumbeous Hawk,Leucopternis semiplumbeus
Gray Hawk,Buteo plagiatus
Gray-lined Hawk,Buteo nitidus
Red-shouldered Hawk,Buteo lineatus
Ridgway's Hawk,Buteo ridgwayi
Broad-winged Hawk,Buteo platypterus
Hawaiian Hawk,Buteo solitarius
Short-tailed Hawk,Buteo brachyurus
Swainson's Hawk,Buteo swainsoni
Zone-tailed Hawk,Buteo albonotatus
Red-tailed Hawk,Buteo jamaicensis
Rough-legged Hawk,Buteo lagopus
Ferruginous Hawk,Buteo regalis
Long-legged Buzzard,Buteo rufinus
Barn Owl,Tyto alba
Ashy-faced Owl,Tyto glaucops
Oriental Scops-Owl,Otus sunia
Flammulated Owl,Psiloscops flammeolus
Puerto Rican Owl,Gymnasio nudipes
Whiskered Screech-Owl,Megascops trichopsis
Bare-shanked Screech-Owl,Megascops clarkii
Tropical Screech-Owl,Megascops choliba
Bearded Screech-Owl,Megascops barbarus
Pacific Screech-Owl,Megascops cooperi
Western Screech-Owl,Megascops kennicottii
Eastern Screech-Owl,Megascops asio
Balsas Screech-Owl,Megascops seductus
Middle American Screech-Owl,Megascops guatemalae
Choco Screech-Owl,Megascops centralis
Bare-legged Owl,Margarobyas lawrencii
Crested Owl,Lophostrix cristata
Spectacled Owl,Pulsatrix perspicillata
Great Horned Owl,Bubo virginianus
Snowy Owl,Bubo scandiacus
Northern Hawk Owl,Surnia ulula
Northern Pygmy-Owl,Glaucidium gnoma
Costa Rican Pygmy-Owl,Glaucidium costaricanum
Central American Pygmy-Owl,Glaucidium griseiceps
Tamaulipas Pygmy-Owl,Glaucidium sanchezi
Colima Pygmy-Owl,Glaucidium palmarum
Ferruginous Pygmy-Owl,Glaucidium brasilianum
Cuban Pygmy-Owl,Glaucidium siju
Elf Owl,Micrathene whitneyi
Burrowing Owl,Athene cunicularia
Spotted Owl,Strix occidentalis
Barred Owl,Strix varia
Cinereous Owl,Strix sartorii
Fulvous Owl,Strix fulvescens
Mottled Owl,Strix virgata
Black-and-white Owl,Strix nigrolineata
Great Gray Owl,Strix nebulosa
Long-eared Owl,Asio otus
Stygian Owl,Asio stygius
Short-eared Owl,Asio flammeus
Striped Owl,Asio clamator
Jamaican Owl,Asio grammicus
Boreal Owl,Aegolius funereus
Northern Saw-whet Owl,Aegolius acadicus
Unspotted Saw-whet Owl,Aegolius ridgwayi
Northern Boobook,Ninox japonica
Cuban Trogon,Priotelus temnurus
Hispaniolan Trogon,Priotelus roseigaster
Lattice-tailed Trogon,Trogon clathratus
Slaty-tailed Trogon,Trogon massena
Black-tailed Trogon,Trogon melanurus
Black-headed Trogon,Trogon melanocephalus
Citreoline Trogon,Trogon citreolus
White-tailed Trogon,Trogon chionurus
Baird's Trogon,Trogon bairdii
Gartered Trogon,Trogon caligatus
Black-throated Trogon,Trogon rufus
Elegant Trogon,Trogon elegans
Mountain Trogon,Trogon mexicanus
Collared Trogon,Trogon collaris
Eared Quetzal,Euptilotis neoxenus
Golden-headed Quetzal,Pharomachrus auriceps
Resplendent Quetzal,Pharomachrus mocinno
Eurasian Hoopoe,Upupa epops
Cuban Tody,Todus multicolor
Broad-billed Tody,Todus subulatus
Narrow-billed Tody,Todus angustirostris
Jamaican Tody,Todus todus
Puerto Rican Tody,Todus mexicanus
Tody Motmot,Hylomanes momotula
Blue-throated Motmot,Aspatha gularis
Russet-crowned Motmot,Momotus mexicanus
Blue-capped Motmot,Momotus coeruliceps
Lesson's Motmot,Momotus lessonii
Whooping Motmot,Momotus subrufescens
Rufous Motmot,Baryphthengus martii
Keel-billed Motmot,Electron carinatum
Broad-billed Motmot,Electron platyrhynchum
Turquoise-browed Motmot,Eumomota superciliosa
Ringed Kingfisher,Megaceryle torquata
Belted Kingfisher,Megaceryle alcyon
Amazon Kingfisher,Chloroceryle amazona
American Pygmy Kingfisher,Chloroceryle aenea
Green Kingfisher,Chloroceryle americana
Green-and-rufous Kingfisher,Chloroceryle inda
Barred Puffbird,Nystalus radiatus
White-necked Puffbird,Notharchus hyperrhynchus
Black-breasted Puffbird,Notharchus pectoralis
Pied Puffbird,Notharchus tectus
White-whiskered Puffbird,Malacoptila panamensis
Lanceolated Monklet,Micromonacha lanceolata
Gray-cheeked Nunlet,Nonnula frontalis
White-fronted Nunbird,Monasa morphoeus
Dusky-backed Jacamar,Brachygalba salmoni
Rufous-tailed Jacamar,Galbula ruficauda
Great Jacamar,Jacamerops aureus
Spot-crowned Barbet,Capito maculicoronatus
Red-headed Barbet,Eubucco bourcierii
Prong-billed Barbet,Semnornis frantzii
Northern Emerald-Toucanet,Aulacorhynchus prasinus
Collared Aracari,Pteroglossus torquatus
Fiery-billed Aracari,Pteroglossus frantzii
Yellow-eared Toucanet,Selenidera spectabilis
Keel-billed Toucan,Ramphastos sulfuratus
Yellow-throated Toucan,Ramphastos ambiguus
Eurasian Wryneck,Jynx torquilla
Olivaceous Piculet,Picumnus olivaceus
Antillean Piculet,Nesoctites micromegas
Lewis's Woodpecker,Melanerpes lewis
Guadeloupe Woodpecker,Melanerpes herminieri
Puerto Rican Woodpecker,Melanerpes portoricensis
Red-headed Woodpecker,Melanerpes erythrocephalus
Acorn Woodpecker,Melanerpes formicivorus
Golden-naped Woodpecker,Melanerpes chrysauchen
Black-cheeked Woodpecker,Melanerpes pucherani
Hispaniolan Woodpecker,Melanerpes striatus
Jamaican Woodpecker,Melanerpes radiolatus
Golden-cheeked Woodpecker,Melanerpes chrysogenys
Gray-breasted Woodpecker,Melanerpes hypopolius
Yucatan Woodpecker,Melanerpes pygmaeus
Red-crowned Woodpecker,Melanerpes rubricapillus
Gila Woodpecker,Melanerpes uropygialis
Hoffmann's Woodpecker,Melanerpes hoffmannii
Golden-fronted Woodpecker,Melanerpes aurifrons
Red-bellied Woodpecker,Melanerpes carolinus
West Indian Woodpecker,Melanerpes superciliaris
Williamson's Sapsucker,Sphyrapicus thyroideus
Yellow-bellied Sapsucker,Sphyrapicus varius
Red-naped Sapsucker,Sphyrapicus nuchalis
Red-breasted Sapsucker,Sphyrapicus ruber
Cuban Green Woodpecker,Xiphidiopicus percussus
American Three-toed Woodpecker,Picoides dorsalis
Black-backed Woodpecker,Picoides arcticus
Great Spotted Woodpecker,Dendrocopos major
Downy Woodpecker,Dryobates pubescens
Nuttall's Woodpecker,Dryobates nuttallii
Ladder-backed Woodpecker,Dryobates scalaris
Red-cockaded Woodpecker,Dryobates borealis
Hairy Woodpecker,Dryobates villosus
White-headed Woodpecker,Dryobates albolarvatus
Smoky-brown Woodpecker,Dryobates fumigatus
Arizona Woodpecker,Dryobates arizonae
Strickland's Woodpecker,Dryobates stricklandi
Red-rumped Woodpecker,Dryobates kirkii
Rufous-winged Woodpecker,Piculus simplex
Stripe-cheeked Woodpecker,Piculus callopterus
Golden-green Woodpecker,Piculus chrysochloros
Golden-olive Woodpecker,Colaptes rubiginosus
Gray-crowned Woodpecker,Colaptes auricularis
Spot-breasted Woodpecker,Colaptes punctigula
Northern Flicker,Colaptes auratus
Gilded Flicker,Colaptes chrysoides
Fernandina's Flicker,Colaptes fernandinae
Cinnamon Woodpecker,Celeus loricatus
Chestnut-colored Woodpecker,Celeus castaneus
Lineated Woodpecker,Dryocopus lineatus
Pileated Woodpecker,Dryocopus pileatus
Crimson-bellied Woodpecker,Campephilus haematogaster
Crimson-crested Woodpecker,Campephilus melanoleucos
Pale-billed Woodpecker,Campephilus guatemalensis
Ivory-billed Woodpecker,Campephilus principalis
Imperial Woodpecker,Campephilus imperialis
Laughing Falcon,Herpetotheres cachinnans
Barred Forest-Falcon,Micrastur ruficollis
Slaty-backed Forest-Falcon,Micrastur mirandollei
Collared Forest-Falcon,Micrastur semitorquatus
Red-throated Caracara,Ibycter americanus
Crested Caracara,Caracara plancus
Guadalupe Caracara,Caracara lutosa
Yellow-headed Caracara,Milvago chimachima
Eurasian Kestrel,Falco tinnunculus
American Kestrel,Falco sparverius
Red-footed Falcon,Falco vespertinus
Merlin,Falco columbarius
Eurasian Hobby,Falco subbuteo
Aplomado Falcon,Falco femoralis
Bat Falcon,Falco rufigularis
Orange-breasted Falcon,Falco deiroleucus
Gyrfalcon,Falco rusticolus
Peregrine Falcon,Falco peregrinus
Prairie Falcon,Falco mexicanus
Painted Parakeet,Pyrrhura picta
Sulphur-winged Parakeet,Pyrrhura hoffmanni
Monk Parakeet,Myiopsitta monachus
Carolina Parakeet,Conuropsis carolinensis
Olive-throated Parakeet,Eupsittula nana
Orange-fronted Parakeet,Eupsittula canicularis
Brown-throated Parakeet,Eupsittula pertinax
Nanday Parakeet,Aratinga nenday
Blue-and-yellow Macaw,Ara ararauna
Chestnut-fronted Macaw,Ara severus
Cuban Macaw,Ara tricolor
Scarlet Macaw,Ara macao
Red-and-green Macaw,Ara chloropterus
Military Macaw,Ara militaris
Great Green Macaw,Ara ambiguus
Green Parakeet,Psittacara holochlorus
Socorro Parakeet,Psittacara brevipes
Pacific Parakeet,Psittacara strenuus
Mitred Parakeet,Psittacara mitratus
Red-masked Parakeet,Psittacara erythrogenys
Crimson-fronted Parakeet,Psittacara finschi
Cuban Parakeet,Psittacara euops
Puerto Rican Parakeet,Psittacara maugei
Hispaniolan Parakeet,Psittacara chloropterus
Thick-billed Parrot,Rhynchopsitta pachyrhyncha
Maroon-fronted Parrot,Rhynchopsitta terrisi
Barred Parakeet,Bolborhynchus lineola
Mexican Parrotlet,Forpus cyanopygius
Green-rumped Parrotlet,Forpus passerinus
Spectacled Parrotlet,Forpus conspicillatus
Orange-chinned Parakeet,Brotogeris jugularis
White-winged Parakeet,Brotogeris versicolurus
Yellow-chevroned Parakeet,Brotogeris chiriri
Red-fronted Parrotlet,Touit costaricensis
Blue-fronted Parrotlet,Touit dilectissimus
Brown-hooded Parrot,Pyrilia haematotis
Saffron-headed Parrot,Pyrilia pyrilia
Blue-headed Parrot,Pionus menstruus
White-crowned Parrot,Pionus senilis
White-fronted Parrot,Amazona albifrons
Yellow-lored Parrot,Amazona xantholora
Cuban Parrot,Amazona leucocephala
Yellow-billed Parrot,Amazona collaria
Hispaniolan Parrot,Amazona ventralis
Puerto Rican Parrot,Amazona vittata
Black-billed Parrot,Amazona agilis
Red-crowned Parrot,Amazona viridigenalis
Lilac-crowned Parrot,Amazona finschi
Red-lored Parrot,Amazona autumnalis
Mealy Parrot,Amazona farinosa
Yellow-headed Parrot,Amazona oratrix
Yellow-naped Parrot,Amazona auropalliata
Yellow-crowned Parrot,Amazona ochrocephala
Red-necked Parrot,Amazona arausiaca
St. Lucia Parrot,Amazona versicolor
St. Vincent Parrot,Amazona guildingii
Imperial Parrot,Amazona imperialis
Rose-ringed Parakeet,Psittacula krameri
Rosy-faced Lovebird,Agapornis roseicollis
Sapayoa,Sapayoa aenigma
Lance-tailed Manakin,Chiroxiphia lanceolata
Long-tailed Manakin,Chiroxiphia linearis
White-ruffed Manakin,Corapipo altera
Green Manakin,Cryptopipo holochlora
Velvety Manakin,Lepidothrix velutina
White-collared Manakin,Manacus candei
Orange-collared Manakin,Manacus aurantiacus
Golden-collared Manakin,Manacus vitellinus
White-crowned Manakin,Pseudopipra pipra
Red-capped Manakin,Ceratopipra mentalis
Golden-headed Manakin,Ceratopipra erythrocephala
Purple-throated Fruitcrow,Querula purpurata
Bare-necked Umbrellabird,Cephalopterus glabricollis
Lovely Cotinga,Cotinga amabilis
Turquoise Cotinga,Cotinga ridgwayi
Blue Cotinga,Cotinga nattererii
Rufous Piha,Lipaugus unirufus
Three-wattled Bellbird,Procnias tricarunculatus
Black-tipped Cotinga,Carpodectes hopkei
Yellow-billed Cotinga,Carpodectes antoniae
Snowy Cotinga,Carpodectes nitidus
Northern Schiffornis,Schiffornis veraepacis
Russet-winged Schiffornis,Schiffornis stenorhyncha
Speckled Mourner,Laniocera rufescens
Masked Tityra,Tityra semifasciata
Black-crowned Tityra,Tityra inquisitor
Barred Becard,Pachyramphus versicolor
Cinereous Becard,Pachyramphus rufus
Cinnamon Becard,Pachyramphus cinnamomeus
White-winged Becard,Pachyramphus polychopterus
Black-and-white Becard,Pachyramphus albogriseus
Gray-collared Becard,Pachyramphus major
Rose-throated Becard,Pachyramphus aglaiae
One-colored Becard,Pachyramphus homochrous
Jamaican Becard,Pachyramphus niger
Sharpbill,Oxyruncus cristatus
Royal Flycatcher,Onychorhynchus coronatus
Ruddy-tailed Flycatcher,Terenotriccus erythrurus
Tawny-breasted Flycatcher,Myiobius villosus
Sulphur-rumped Flycatcher,Myiobius sulphureipygius
Black-tailed Flycatcher,Myiobius atricaudus
Gray-headed Piprites,Piprites griseiceps
Stub-tailed Spadebill,Platyrinchus cancrominus
White-throated Spadebill,Platyrinchus mystaceus
Golden-crowned Spadebill,Platyrinchus coronatus
Olive-striped Flycatcher,Mionectes olivaceus
Ochre-bellied Flycatcher,Mionectes oleagineus
Sepia-capped Flycatcher,Leptopogon amaurocephalus
Slaty-capped Flycatcher,Leptopogon superciliaris
Yellow-green Tyrannulet,Phylloscartes flavovirens
Rufous-browed Tyrannulet,Phylloscartes superciliaris
Bronze-olive Pygmy-Tyrant,Pseudotriccus pelzelni
Black-capped Pygmy-Tyrant,Myiornis atricapillus
Scale-crested Pygmy-Tyrant,Lophotriccus pileatus
Pale-eyed Pygmy-Tyrant,Lophotriccus pilaris
Northern Bentbill,Oncostoma cinereigulare
Southern Bentbill,Oncostoma olivaceum
Slate-headed Tody-Flycatcher,Poecilotriccus sylvia
Common Tody-Flycatcher,Todirostrum cinereum
Black-headed Tody-Flycatcher,Todirostrum nigriceps
Brownish Twistwing,Cnipodectes subbrunneus
Eye-ringed Flatbill,Rhynchocyclus brevirostris
Olivaceous Flatbill,Rhynchocyclus olivaceus
Yellow-olive Flycatcher,Tolmomyias sulphurescens
Yellow-margined Flycatcher,Tolmomyias assimilis
Yellow-breasted Flycatcher,Tolmomyias flaviventris
Yellow-bellied Tyrannulet,Ornithion semiflavum
Brown-capped Tyrannulet,Ornithion brunneicapillus
Northern Beardless-Tyrannulet,Camptostoma imberbe
Southern Beardless-Tyrannulet,Camptostoma obsoletum
Cocos Flycatcher,Nesotriccus ridgwayi
Mouse-colored Tyrannulet,Nesotriccus murinus
Yellow Tyrannulet,Capsiempis flaveola
Yellow-crowned Tyrannulet,Tyrannulus elatus
Forest Elaenia,Myiopagis gaimardii
Gray Elaenia,Myiopagis caniceps
Jamaican Elaenia,Myiopagis cotta
Greenish Elaenia,Myiopagis viridicata
Caribbean Elaenia,Elaenia martinica
Yellow-bellied Elaenia,Elaenia flavogaster
White-crested Elaenia,Elaenia albiceps
Small-billed Elaenia,Elaenia parvirostris
Lesser Elaenia,Elaenia chiriquensis
Mountain Elaenia,Elaenia frantzii
Greater Antillean Elaenia,Elaenia fallax
Torrent Tyrannulet,Serpophaga cinerea
Rough-legged Tyrannulet,Phyllomyias burmeisteri
Sooty-headed Tyrannulet,Phyllomyias griseiceps
Guatemalan Tyrannulet,Zimmerius vilissimus
Mistletoe Tyrannulet,Zimmerius parvus
Bright-rumped Attila,Attila spadiceus
Choco Sirystes,Sirystes albogriseus
Rufous Mourner,Rhytipterna holerythra
Yucatan Flycatcher,Myiarchus yucatanensis
Sad Flycatcher,Myiarchus barbirostris
Dusky-capped Flycatcher,Myiarchus tuberculifer
Panama Flycatcher,Myiarchus panamensis
Ash-throated Flycatcher,Myiarchus cinerascens
Nutting's Flycatcher,Myiarchus nuttingi
Great Crested Flycatcher,Myiarchus crinitus
Brown-crested Flycatcher,Myiarchus tyrannulus
Grenada Flycatcher,Myiarchus nugator
Rufous-tailed Flycatcher,Myiarchus validus
La Sagra's Flycatcher,Myiarchus sagrae
Stolid Flycatcher,Myiarchus stolidus
Puerto Rican Flycatcher,Myiarchus antillarum
Lesser Antillean Flycatcher,Myiarchus oberi
Flammulated Flycatcher,Ramphotrigon flammulatum
Lesser Kiskadee,Philohydor lictor
Great Kiskadee,Pitangus sulphuratus
Cattle Tyrant,Machetornis rixosa
Boat-billed Flycatcher,Megarynchus pitangua
Rusty-margined Flycatcher,Myiozetetes cayanensis
Social Flycatcher,Myiozetetes similis
Gray-capped Flycatcher,Myiozetetes granadensis
White-ringed Flycatcher,Conopias albovittatus
Golden-bellied Flycatcher,Myiodynastes hemichrysus
Streaked Flycatcher,Myiodynastes maculatus
Sulphur-bellied Flycatcher,Myiodynastes luteiventris
Piratic Flycatcher,Legatus leucophaius
Variegated Flycatcher,Empidonomus varius
Crowned Slaty Flycatcher,Empidonomus aurantioatrocristatus
Tropical Kingbird,Tyrannus melancholicus
Couch's Kingbird,Tyrannus couchii
Cassin's Kingbird,Tyrannus vociferans
Thick-billed Kingbird,Tyrannus crassirostris
Western Kingbird,Tyrannus verticalis
Eastern Kingbird,Tyrannus tyrannus
Gray Kingbird,Tyrannus dominicensis
Loggerhead Kingbird,Tyrannus caudifasciatus
Giant Kingbird,Tyrannus cubensis
Scissor-tailed Flycatcher,Tyrannus forficatus
Fork-tailed Flycatcher,Tyrannus savana
Bran-colored Flycatcher,Myiophobus fasciatus
Euler's Flycatcher,Lathrotriccus euleri
Tawny-chested Flycatcher,Aphanotriccus capitalis
Black-billed Flycatcher,Aphanotriccus audax
Belted Flycatcher,Xenotriccus callizonus
Pileated Flycatcher,Xenotriccus mexicanus
Tufted Flycatcher,Mitrephanes phaeocercus
Olive-sided Flycatcher,Contopus cooperi
Greater Pewee,Contopus pertinax
Dark Pewee,Contopus lugubris
Ochraceous Pewee,Contopus ochraceus
Western Wood-Pewee,Contopus sordidulus
Eastern Wood-Pewee,Contopus virens
Tropical Pewee,Contopus cinereus
Cuban Pewee,Contopus caribaeus
Jamaican Pewee,Contopus pallidus
Hispaniolan Pewee,Contopus hispaniolensis
Lesser Antillean Pewee,Contopus latirostris
Yellow-bellied Flycatcher,Empidonax flaviventris
Acadian Flycatcher,Empidonax virescens
Alder Flycatcher,Empidonax alnorum
Willow Flycatcher,Empidonax traillii
White-throated Flycatcher,Empidonax albigularis
Least Flycatcher,Empidonax minimus
Hammond's Flycatcher,Empidonax hammondii
Gray Flycatcher,Empidonax wrightii
Dusky Flycatcher,Empidonax oberholseri
Pine Flycatcher,Empidonax affinis
Western Flycatcher,Empidonax difficilis
Yellowish Flycatcher,Empidonax flavescens
Buff-breasted Flycatcher,Empidonax fulvifrons
Black-capped Flycatcher,Empidonax atriceps
Black Phoebe,Sayornis nigricans
Eastern Phoebe,Sayornis phoebe
Say's Phoebe,Sayornis saya
Vermilion Flycatcher,Pyrocephalus rubinus
Pied Water-Tyrant,Fluvicola pica
Northern Scrub-Flycatcher,Sublegatus arenarum
Long-tailed Tyrant,Colonia colonus
Black-crowned Antpitta,Pittasoma michleri
Fasciated Antshrike,Cymbilaimus lineatus
Great Antshrike,Taraba major
Barred Antshrike,Thamnophilus doliatus
Black Antshrike,Thamnophilus nigriceps
Black-hooded Antshrike,Thamnophilus bridgesi
Black-crowned Antshrike,Thamnophilus atrinucha
Spiny-faced Antshrike,Xenornis setifrons
Russet Antshrike,Thamnistes anabatinus
Plain Antvireo,Dysithamnus mentalis
Streak-crowned Antvireo,Dysithamnus striaticeps
Spot-crowned Antvireo,Dysithamnus puncticeps
Moustached Antwren,Myrmotherula ignota
Pacific Antwren,Myrmotherula pacifica
White-flanked Antwren,Myrmotherula axillaris
Slaty Antwren,Myrmotherula schisticolor
Checker-throated Stipplethroat,Epinecrophylla fulviventris
Rusty-winged Antwren,Herpsilochmus frater
Dot-winged Antwren,Microrhopias quixensis
White-fringed Antwren,Formicivora grisea
Rufous-rumped Antwren,Euchrepomis callinota
Dusky Antbird,Cercomacroides tyrannina
Jet Antbird,Cercomacra nigricans
Bare-crowned Antbird,Gymnocichla nudiceps
Zeledon's Antbird,Hafferia zeledoni
White-bellied Antbird,Myrmeciza longipes
Chestnut-backed Antbird,Poliocrania exsul
Dull-mantled Antbird,Sipia laemosticta
Spotted Antbird,Hylophylax naevioides
Wing-banded Antbird,Myrmornis torquata
Bicolored Antbird,Gymnopithys bicolor
Ocellated Antbird,Phaenostictus mcleannani
Ochre-breasted Antpitta,Grallaricula flavirostris
Thicket Antpitta,Myrmothera dives
Streak-chested Antpitta,Hylopezus perspicillatus
Scaled Antpitta,Grallaria guatimalensis
Tacarcuna Tapaculo,Scytalopus panamensis
Choco Tapaculo,Scytalopus chocoensis
Silvery-fronted Tapaculo,Scytalopus argentifrons
Mayan Antthrush,Formicarius moniliger
Black-faced Antthrush,Formicarius analis
Black-headed Antthrush,Formicarius nigricapillus
Rufous-breasted Antthrush,Formicarius rufipectus
Tawny-throated Leaftosser,Sclerurus mexicanus
Gray-throated Leaftosser,Sclerurus albigularis
Scaly-throated Leaftosser,Sclerurus guatemalensis
Olivaceous Woodcreeper,Sittasomus griseicapillus
Long-tailed Woodcreeper,Deconychura longicauda
Ruddy Woodcreeper,Dendrocincla homochroa
Tawny-winged Woodcreeper,Dendrocincla anabatina
Plain-brown Woodcreeper,Dendrocincla fuliginosa
Wedge-billed Woodcreeper,Glyphorynchus spirurus
Northern Barred-Woodcreeper,Dendrocolaptes sanctithomae
Black-banded Woodcreeper,Dendrocolaptes picumnus
Strong-billed Woodcreeper,Xiphocolaptes promeropirhynchus
Cocoa Woodcreeper,Xiphorhynchus susurrans
Ivory-billed Woodcreeper,Xiphorhynchus flavigaster
Black-striped Woodcreeper,Xiphorhynchus lachrymosus
Spotted Woodcreeper,Xiphorhynchus erythropygius
Straight-billed Woodcreeper,Dendroplex picus
Red-billed Scythebill,Campylorhamphus trochilirostris
Brown-billed Scythebill,Campylorhamphus pusillus
White-striped Woodcreeper,Lepidocolaptes leucogaster
Streak-headed Woodcreeper,Lepidocolaptes souleyetii
Spot-crowned Woodcreeper,Lepidocolaptes affinis
Plain Xenops,Xenops minutus
Streaked Xenops,Xenops rutilans
Buffy Tuftedcheek,Pseudocolaptes lawrencii
